"","Accession","Begin","End","Chromosome","Orientation","Name","Symbol","Gene.ID","Gene.Type","Transcripts.accession","Protein.accession","Protein.length","Locus.tag","source_file"
"18","NZ_AP021898.1",27285,28730,"","plus","Gfo/Idh/MocA family protein","",60879434,"protein-coding",NA,"WP_102749052.1",481,"GOZ73_RS00090","akkermansia_muciniphila.tsv"
"19","NZ_AP021898.1",29032,30174,"","plus","metabolite traffic protein EboE","eboE",60879435,"protein-coding",NA,"WP_155844470.1",380,"GOZ73_RS00095","akkermansia_muciniphila.tsv"
"20","NZ_AP021898.1",30179,31138,"","plus","zinc-binding metallopeptidase family protein","",60879436,"protein-coding",NA,"WP_155844471.1",319,"GOZ73_RS00100","akkermansia_muciniphila.tsv"
"21","NZ_AP021898.1",31157,32311,"","minus","MFS transporter","",60879437,"protein-coding",NA,"WP_102741786.1",384,"GOZ73_RS00105","akkermansia_muciniphila.tsv"
"22","NZ_AP021898.1",32461,33858,"","minus","RNA polymerase factor sigma-54","rpoN",60879438,"protein-coding",NA,"WP_155844472.1",465,"GOZ73_RS00110","akkermansia_muciniphila.tsv"
"23","NZ_AP021898.1",34000,34710,"","plus","GDSL-type esterase/lipase family protein","",60879439,"protein-coding",NA,"WP_012419084.1",236,"GOZ73_RS00115","akkermansia_muciniphila.tsv"
"24","NZ_AP021898.1",35100,35876,"","plus","PhzF family phenazine biosynthesis protein","",60879440,"protein-coding",NA,"WP_102746795.1",258,"GOZ73_RS00120","akkermansia_muciniphila.tsv"
"25","NZ_AP021898.1",36371,36970,"","plus","manganese efflux pump MntP","",60879441,"protein-coding",NA,"WP_146018789.1",199,"GOZ73_RS00125","akkermansia_muciniphila.tsv"
"26","NZ_AP021898.1",37079,39307,"","plus","discoidin domain-containing protein","",60879442,"protein-coding",NA,"WP_162378703.1",742,"GOZ73_RS00130","akkermansia_muciniphila.tsv"
"27","NZ_AP021898.1",39324,40541,"","plus","hypothetical protein","",60879443,"protein-coding",NA,"WP_102740461.1",405,"GOZ73_RS00135","akkermansia_muciniphila.tsv"
"28","NZ_AP021898.1",40772,42151,"","minus","replication-associated recombination protein A","",60879444,"protein-coding",NA,"WP_102749063.1",459,"GOZ73_RS00140","akkermansia_muciniphila.tsv"
"29","NZ_AP021898.1",42261,42656,"","minus","hypothetical protein","",60879445,"protein-coding",NA,"WP_102744930.1",131,"GOZ73_RS00145","akkermansia_muciniphila.tsv"
"30","NZ_AP021898.1",43022,43948,"","minus","NAD-dependent epimerase/dehydratase family protein","",60879446,"protein-coding",NA,"WP_012419091.1",308,"GOZ73_RS00150","akkermansia_muciniphila.tsv"
"31","NZ_AP021898.1",43975,45069,"","minus","phosphotransferase enzyme family protein","",60879447,"protein-coding",NA,"WP_012419092.1",364,"GOZ73_RS00155","akkermansia_muciniphila.tsv"
"32","NZ_AP021898.1",45082,45990,"","minus","nucleotidyltransferase family protein","",60879448,"protein-coding",NA,"WP_042448500.1",302,"GOZ73_RS00160","akkermansia_muciniphila.tsv"
"33","NZ_AP021898.1",46066,46785,"","minus","hypothetical protein","",60879449,"protein-coding",NA,"WP_102746792.1",239,"GOZ73_RS00165","akkermansia_muciniphila.tsv"
"34","NZ_AP021898.1",46889,47581,"","plus","site-2 protease family protein","",60879450,"protein-coding",NA,"WP_102740464.1",230,"GOZ73_RS00170","akkermansia_muciniphila.tsv"
"35","NZ_AP021898.1",47639,49159,"","plus","proline--tRNA ligase","proS",60879451,"protein-coding",NA,"WP_102746791.1",506,"GOZ73_RS00175","akkermansia_muciniphila.tsv"
"36","NZ_AP021898.1",50299,50712,"","minus","hypothetical protein","",60879453,"protein-coding",NA,"WP_102740466.1",137,"GOZ73_RS00185","akkermansia_muciniphila.tsv"
"37","NZ_AP021898.1",50740,56274,"","minus","RHS repeat domain-containing protein","",60879454,"protein-coding",NA,"WP_232053452.1",1844,"GOZ73_RS00190","akkermansia_muciniphila.tsv"
"38","NZ_AP021898.1",57002,58570,"","plus","putative glutamine/gamma-aminobutyrate antiporter GadC","gadC",60879455,"protein-coding",NA,"WP_051729123.1",522,"GOZ73_RS00195","akkermansia_muciniphila.tsv"
"39","NZ_AP021898.1",58563,59504,"","plus","glutaminase A","glsA",60879456,"protein-coding",NA,"WP_102746790.1",313,"GOZ73_RS00200","akkermansia_muciniphila.tsv"
"40","NZ_AP021898.1",59735,60145,"","minus","GNAT family N-acetyltransferase","",60879457,"protein-coding",NA,"WP_012419101.1",136,"GOZ73_RS00205","akkermansia_muciniphila.tsv"
"41","NZ_AP021898.1",60583,61992,"","plus","alanine/glycine:cation symporter family protein","",60879458,"protein-coding",NA,"WP_102743215.1",469,"GOZ73_RS00210","akkermansia_muciniphila.tsv"
"42","NZ_AP021898.1",62395,63471,"","plus","peptide chain release factor 1","prfA",60879460,"protein-coding",NA,"WP_012419103.1",358,"GOZ73_RS00220","akkermansia_muciniphila.tsv"
"43","NZ_AP021898.1",63488,64393,"","plus","peptide chain release factor N(5)-glutamine methyltransferase","prmC",60879461,"protein-coding",NA,"WP_102744940.1",301,"GOZ73_RS00225","akkermansia_muciniphila.tsv"
"44","NZ_AP021898.1",64415,66631,"","plus","replication restart helicase PriA","priA",60879462,"protein-coding",NA,"WP_102746788.1",738,"GOZ73_RS00230","akkermansia_muciniphila.tsv"
"45","NZ_AP021898.1",66691,67515,"","plus","diaminopimelate epimerase","dapF",60879463,"protein-coding",NA,"WP_102746787.1",274,"GOZ73_RS00235","akkermansia_muciniphila.tsv"
"46","NZ_AP021898.1",67559,68338,"","minus","hypothetical protein","",60879464,"protein-coding",NA,"WP_102746786.1",259,"GOZ73_RS00240","akkermansia_muciniphila.tsv"
"47","NZ_AP021898.1",69094,69765,"","plus","ubiquinone/menaquinone biosynthesis methyltransferase","",60879466,"protein-coding",NA,"WP_022197188.1",223,"GOZ73_RS00250","akkermansia_muciniphila.tsv"
"48","NZ_AP021898.1",69762,71267,"","plus","MATE family efflux transporter","",60879467,"protein-coding",NA,"WP_162378704.1",501,"GOZ73_RS00255","akkermansia_muciniphila.tsv"
"49","NZ_AP021898.1",71844,72704,"","minus","toll/interleukin-1 receptor domain-containing protein","",60879469,"protein-coding",NA,"WP_102746784.1",286,"GOZ73_RS00265","akkermansia_muciniphila.tsv"
"50","NZ_AP021898.1",73005,73871,"","plus","FRG domain-containing protein","",60879470,"protein-coding",NA,"WP_102734736.1",288,"GOZ73_RS00270","akkermansia_muciniphila.tsv"
"51","NZ_AP021898.1",73954,75024,"","plus","hypothetical protein","",60879471,"protein-coding",NA,"WP_102734737.1",356,"GOZ73_RS00275","akkermansia_muciniphila.tsv"
"52","NZ_AP021898.1",75183,75899,"","plus","hypothetical protein","",60879472,"protein-coding",NA,"WP_128153679.1",238,"GOZ73_RS00280","akkermansia_muciniphila.tsv"
"53","NZ_AP021898.1",76417,76746,"","minus","hypothetical protein","",60879473,"protein-coding",NA,"WP_102741756.1",109,"GOZ73_RS00285","akkermansia_muciniphila.tsv"
"54","NZ_AP021898.1",76963,77436,"","minus","primase-helicase family protein","",60879474,"protein-coding",NA,"WP_128153680.1",157,"GOZ73_RS00290","akkermansia_muciniphila.tsv"
"55","NZ_AP021898.1",78236,79975,"","minus","single-stranded-DNA-specific exonuclease RecJ","recJ",60879476,"protein-coding",NA,"WP_012419112.1",579,"GOZ73_RS00300","akkermansia_muciniphila.tsv"
"56","NZ_AP021898.1",80167,83028,"","minus","beta-N-acetylglucosaminidase domain-containing protein","",60879477,"protein-coding",NA,"WP_102746783.1",953,"GOZ73_RS00305","akkermansia_muciniphila.tsv"
"57","NZ_AP021898.1",83495,84427,"","plus","metal ABC transporter substrate-binding protein","",60879478,"protein-coding",NA,"WP_180974147.1",310,"GOZ73_RS00310","akkermansia_muciniphila.tsv"
"58","NZ_AP021898.1",84424,84858,"","plus","hypothetical protein","",60879479,"protein-coding",NA,"WP_065529453.1",144,"GOZ73_RS00315","akkermansia_muciniphila.tsv"
"59","NZ_AP021898.1",84855,85655,"","plus","metal ABC transporter ATP-binding protein","",60879480,"protein-coding",NA,"WP_102743653.1",266,"GOZ73_RS00320","akkermansia_muciniphila.tsv"
"60","NZ_AP021898.1",85652,86515,"","plus","metal ABC transporter permease","",60879481,"protein-coding",NA,"WP_065529454.1",287,"GOZ73_RS00325","akkermansia_muciniphila.tsv"
"61","NZ_AP021898.1",86628,87119,"","plus","UvrB/UvrC motif-containing protein","",60879482,"protein-coding",NA,"WP_051729129.1",163,"GOZ73_RS00330","akkermansia_muciniphila.tsv"
"62","NZ_AP021898.1",87125,88180,"","plus","protein arginine kinase","",60879483,"protein-coding",NA,"WP_012419119.1",351,"GOZ73_RS00335","akkermansia_muciniphila.tsv"
"63","NZ_AP021898.1",88209,90791,"","plus","ATP-dependent Clp protease ATP-binding subunit","",60879484,"protein-coding",NA,"WP_102746782.1",860,"GOZ73_RS00340","akkermansia_muciniphila.tsv"
"64","NZ_AP021898.1",90922,93468,"","plus","alpha-N-acetylglucosaminidase","",60879485,"protein-coding",NA,"WP_102746781.1",848,"GOZ73_RS00345","akkermansia_muciniphila.tsv"
"65","NZ_AP021898.1",93608,93976,"","minus","rhodanese-like domain-containing protein","",60879486,"protein-coding",NA,"WP_197738457.1",122,"GOZ73_RS00350","akkermansia_muciniphila.tsv"
"66","NZ_AP021898.1",94185,95063,"","minus","fumarylacetoacetate hydrolase family protein","",60879487,"protein-coding",NA,"WP_102741743.1",292,"GOZ73_RS00355","akkermansia_muciniphila.tsv"
"67","NZ_AP021898.1",95231,96787,"","plus","2-isopropylmalate synthase","",60879488,"protein-coding",NA,"WP_012419125.1",518,"GOZ73_RS00360","akkermansia_muciniphila.tsv"
"68","NZ_AP021898.1",96909,97823,"","plus","SMP-30/gluconolactonase/LRE family protein","",60879489,"protein-coding",NA,"WP_102746780.1",304,"GOZ73_RS00365","akkermansia_muciniphila.tsv"
"69","NZ_AP021898.1",97943,98398,"","plus","GatB/YqeY domain-containing protein","",60879490,"protein-coding",NA,"WP_065529457.1",151,"GOZ73_RS00370","akkermansia_muciniphila.tsv"
"70","NZ_AP021898.1",98395,99090,"","plus","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase","ispD",60879491,"protein-coding",NA,"WP_051729136.1",231,"GOZ73_RS00375","akkermansia_muciniphila.tsv"
"71","NZ_AP021898.1",99087,99941,"","plus","NAD-dependent epimerase/dehydratase family protein","",60879492,"protein-coding",NA,"WP_065529458.1",284,"GOZ73_RS00380","akkermansia_muciniphila.tsv"
"72","NZ_AP021898.1",100080,102371,"","plus","ArnT family glycosyltransferase","",60879493,"protein-coding",NA,"WP_146018785.1",763,"GOZ73_RS00385","akkermansia_muciniphila.tsv"
"73","NZ_AP021898.1",102495,103460,"","plus","tryptophan--tRNA ligase","trpS",60879494,"protein-coding",NA,"WP_065529460.1",321,"GOZ73_RS00390","akkermansia_muciniphila.tsv"
"74","NZ_AP021898.1",103549,104019,"","plus","universal stress protein","",60879495,"protein-coding",NA,"WP_012419131.1",156,"GOZ73_RS00395","akkermansia_muciniphila.tsv"
"75","NZ_AP021898.1",104052,104855,"","plus","TIGR00282 family metallophosphoesterase","",60879496,"protein-coding",NA,"WP_031929972.1",267,"GOZ73_RS00400","akkermansia_muciniphila.tsv"
"76","NZ_AP021898.1",105156,105950,"","plus","tRNA cyclic N6-threonylcarbamoyladenosine(37) synthase TcdA","tcdA",60879497,"protein-coding",NA,"WP_102746777.1",264,"GOZ73_RS00405","akkermansia_muciniphila.tsv"
"77","NZ_AP021898.1",105947,106462,"","plus","hypothetical protein","",60879498,"protein-coding",NA,"WP_102744960.1",171,"GOZ73_RS00410","akkermansia_muciniphila.tsv"
"78","NZ_AP021898.1",106862,107824,"","minus","carbohydrate kinase family protein","",60879500,"protein-coding",NA,"WP_102745096.1",320,"GOZ73_RS00420","akkermansia_muciniphila.tsv"
"79","NZ_AP021898.1",108316,108819,"","plus","8-oxo-dGTP diphosphatase","",60879501,"protein-coding",NA,"WP_012419136.1",167,"GOZ73_RS00425","akkermansia_muciniphila.tsv"
"80","NZ_AP021898.1",109666,110865,"","plus","glycine C-acetyltransferase","kbl",60879502,"protein-coding",NA,"WP_012419137.1",399,"GOZ73_RS00430","akkermansia_muciniphila.tsv"
"81","NZ_AP021898.1",110880,113519,"","plus","SUMF1/EgtB/PvdO family nonheme iron enzyme","",60879503,"protein-coding",NA,"WP_042447441.1",879,"GOZ73_RS00435","akkermansia_muciniphila.tsv"
"82","NZ_AP021898.1",113682,114452,"","plus","ParA family protein","",60879504,"protein-coding",NA,"WP_102749078.1",256,"GOZ73_RS00440","akkermansia_muciniphila.tsv"
"83","NZ_AP021898.1",114692,117445,"","plus","protein kinase domain-containing protein","",60879505,"protein-coding",NA,"WP_162378706.1",917,"GOZ73_RS00445","akkermansia_muciniphila.tsv"
"84","NZ_AP021898.1",117531,117848,"","plus","hypothetical protein","",60881813,"protein-coding",NA,"WP_162378707.1",105,"GOZ73_RS12150","akkermansia_muciniphila.tsv"
"85","NZ_AP021898.1",118110,119339,"","plus","site-specific integrase","",60879506,"protein-coding",NA,"WP_102744985.1",409,"GOZ73_RS00455","akkermansia_muciniphila.tsv"
"86","NZ_AP021898.1",119921,121243,"","plus","sigma-54-dependent transcriptional regulator","",60879508,"protein-coding",NA,"WP_102746775.1",440,"GOZ73_RS00465","akkermansia_muciniphila.tsv"
"87","NZ_AP021898.1",121305,122735,"","plus","metallophosphoesterase family protein","",60879509,"protein-coding",NA,"WP_102744988.1",476,"GOZ73_RS00470","akkermansia_muciniphila.tsv"
"88","NZ_AP021898.1",122732,125041,"","plus","ATP-binding protein","",60879510,"protein-coding",NA,"WP_102744989.1",769,"GOZ73_RS00475","akkermansia_muciniphila.tsv"
"89","NZ_AP021898.1",125429,125731,"","plus","hypothetical protein","",60881814,"protein-coding",NA,"WP_102744990.1",100,"GOZ73_RS12155","akkermansia_muciniphila.tsv"
"90","NZ_AP021898.1",126047,126580,"","minus","hypothetical protein","",60879511,"protein-coding",NA,"WP_102746774.1",177,"GOZ73_RS00480","akkermansia_muciniphila.tsv"
"91","NZ_AP021898.1",126760,127299,"","minus","hypothetical protein","",60879512,"protein-coding",NA,"WP_094136065.1",179,"GOZ73_RS00485","akkermansia_muciniphila.tsv"
"92","NZ_AP021898.1",127296,128939,"","minus","PA14 domain-containing protein","",60879513,"protein-coding",NA,"WP_102746773.1",547,"GOZ73_RS00490","akkermansia_muciniphila.tsv"
"93","NZ_AP021898.1",129596,129853,"","plus","sulfur carrier protein ThiS","thiS",60879516,"protein-coding",NA,"WP_102741725.1",85,"GOZ73_RS00505","akkermansia_muciniphila.tsv"
"94","NZ_AP021898.1",129896,131797,"","plus","DNA mismatch repair endonuclease MutL","mutL",60879517,"protein-coding",NA,"WP_102745025.1",633,"GOZ73_RS00510","akkermansia_muciniphila.tsv"
"95","NZ_AP021898.1",132133,134085,"","plus","O-antigen ligase family protein","",60879518,"protein-coding",NA,"WP_102748992.1",650,"GOZ73_RS00515","akkermansia_muciniphila.tsv"
"96","NZ_AP021898.1",134482,134838,"","plus","DUF488 domain-containing protein","",60879519,"protein-coding",NA,"WP_012419149.1",118,"GOZ73_RS00520","akkermansia_muciniphila.tsv"
"97","NZ_AP021898.1",134928,135122,"","plus","hypothetical protein","",69060641,"protein-coding",NA,"WP_042447447.1",64,"GOZ73_RS12335","akkermansia_muciniphila.tsv"
"98","NZ_AP021898.1",135175,136152,"","minus","hydroxymethylbilane synthase","hemC",60879520,"protein-coding",NA,"WP_162378709.1",325,"GOZ73_RS00530","akkermansia_muciniphila.tsv"
"99","NZ_AP021898.1",136142,137143,"","minus","glutamyl-tRNA reductase","hemA",60879521,"protein-coding",NA,"WP_232053453.1",333,"GOZ73_RS00535","akkermansia_muciniphila.tsv"
"100","NZ_AP021898.1",137164,137922,"","minus","cytochrome c biogenesis protein CcsA","ccsA",60879522,"protein-coding",NA,"WP_012419152.1",252,"GOZ73_RS00540","akkermansia_muciniphila.tsv"
"101","NZ_AP021898.1",137943,138737,"","minus","GTP cyclohydrolase FolE2","folE2",60879523,"protein-coding",NA,"WP_012419153.1",264,"GOZ73_RS00545","akkermansia_muciniphila.tsv"
"102","NZ_AP021898.1",138845,139090,"","minus","30S ribosomal protein S18","rpsR",60879524,"protein-coding",NA,"WP_012419154.1",81,"GOZ73_RS00550","akkermansia_muciniphila.tsv"
"103","NZ_AP021898.1",139122,139295,"","minus","50S ribosomal protein L33","rpmG",60879525,"protein-coding",NA,"WP_012419155.1",57,"GOZ73_RS00555","akkermansia_muciniphila.tsv"
"104","NZ_AP021898.1",139329,140153,"","minus","TraR/DksA family transcriptional regulator","",77100523,"protein-coding",NA,"WP_102747276.1",274,"GOZ73_RS12465","akkermansia_muciniphila.tsv"
"105","NZ_AP021898.1",140389,141348,"","plus","ROK family protein","",60879526,"protein-coding",NA,"WP_012419157.1",319,"GOZ73_RS00565","akkermansia_muciniphila.tsv"
"106","NZ_AP021898.1",141353,142321,"","plus","RsmB/NOP family class I SAM-dependent RNA methyltransferase","",60879527,"protein-coding",NA,"WP_065529480.1",322,"GOZ73_RS00570","akkermansia_muciniphila.tsv"
"107","NZ_AP021898.1",142328,142837,"","plus","metallophosphoesterase family protein","",60879528,"protein-coding",NA,"WP_102747277.1",169,"GOZ73_RS00575","akkermansia_muciniphila.tsv"
"108","NZ_AP021898.1",142834,143241,"","plus","NUDIX domain-containing protein","",60879529,"protein-coding",NA,"WP_012419160.1",135,"GOZ73_RS00580","akkermansia_muciniphila.tsv"
"109","NZ_AP021898.1",143936,145333,"","plus","efflux RND transporter periplasmic adaptor subunit","",60879530,"protein-coding",NA,"WP_051729148.1",465,"GOZ73_RS00590","akkermansia_muciniphila.tsv"
"110","NZ_AP021898.1",145400,146104,"","plus","ABC transporter ATP-binding protein","",60879531,"protein-coding",NA,"WP_012419163.1",234,"GOZ73_RS00595","akkermansia_muciniphila.tsv"
"111","NZ_AP021898.1",146101,147465,"","plus","ABC transporter permease","",60879532,"protein-coding",NA,"WP_012419164.1",454,"GOZ73_RS00600","akkermansia_muciniphila.tsv"
"112","NZ_AP021898.1",147487,148860,"","plus","efflux transporter outer membrane subunit","",60879533,"protein-coding",NA,"WP_012419165.1",457,"GOZ73_RS00605","akkermansia_muciniphila.tsv"
"113","NZ_AP021898.1",149064,150200,"","minus","serine hydrolase domain-containing protein","",60879534,"protein-coding",NA,"WP_081863524.1",378,"GOZ73_RS00610","akkermansia_muciniphila.tsv"
"114","NZ_AP021898.1",150479,150634,"","plus","hypothetical protein","",60879535,"protein-coding",NA,"WP_155844474.1",51,"GOZ73_RS00615","akkermansia_muciniphila.tsv"
"115","NZ_AP021898.1",150748,151437,"","minus","tRNA (N6-threonylcarbamoyladenosine(37)-N6)-methyltransferase TrmO","tsaA",60879536,"protein-coding",NA,"WP_096888424.1",229,"GOZ73_RS00620","akkermansia_muciniphila.tsv"
"116","NZ_AP021898.1",151498,152772,"","minus","dihydroorotase","",60879537,"protein-coding",NA,"WP_146018865.1",424,"GOZ73_RS00625","akkermansia_muciniphila.tsv"
"117","NZ_AP021898.1",152779,153708,"","minus","aspartate carbamoyltransferase catalytic subunit","",60879538,"protein-coding",NA,"WP_012419172.1",309,"GOZ73_RS00630","akkermansia_muciniphila.tsv"
"118","NZ_AP021898.1",153737,154270,"","minus","bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR","pyrR",60879539,"protein-coding",NA,"WP_012419173.1",177,"GOZ73_RS00635","akkermansia_muciniphila.tsv"
"119","NZ_AP021898.1",154297,154707,"","minus","AIR carboxylase family protein","",60879540,"protein-coding",NA,"WP_012419174.1",136,"GOZ73_RS00640","akkermansia_muciniphila.tsv"
"120","NZ_AP021898.1",154872,155486,"","minus","hypothetical protein","",60879541,"protein-coding",NA,"WP_102745438.1",204,"GOZ73_RS00645","akkermansia_muciniphila.tsv"
"121","NZ_AP021898.1",155727,157277,"","minus","NAD(P)/FAD-dependent oxidoreductase","",60879542,"protein-coding",NA,"WP_042448535.1",516,"GOZ73_RS00650","akkermansia_muciniphila.tsv"
"122","NZ_AP021898.1",157316,158371,"","minus","agmatine deiminase family protein","",60879543,"protein-coding",NA,"WP_046436151.1",351,"GOZ73_RS00655","akkermansia_muciniphila.tsv"
"123","NZ_AP021898.1",158388,158783,"","minus","Minf_1886 family protein","",60879544,"protein-coding",NA,"WP_012419178.1",131,"GOZ73_RS00660","akkermansia_muciniphila.tsv"
"124","NZ_AP021898.1",159115,160434,"","plus","PDZ domain-containing protein","",60879545,"protein-coding",NA,"WP_012419179.1",439,"GOZ73_RS00665","akkermansia_muciniphila.tsv"
"125","NZ_AP021898.1",160470,161780,"","plus","AI-2E family transporter","",60879546,"protein-coding",NA,"WP_065529495.1",436,"GOZ73_RS00670","akkermansia_muciniphila.tsv"
"126","NZ_AP021898.1",161840,163420,"","plus","sulfatase family protein","",60879547,"protein-coding",NA,"WP_031930011.1",526,"GOZ73_RS00675","akkermansia_muciniphila.tsv"
"127","NZ_AP021898.1",163440,163928,"","plus","hypothetical protein","",60879548,"protein-coding",NA,"WP_102747279.1",162,"GOZ73_RS00680","akkermansia_muciniphila.tsv"
"128","NZ_AP021898.1",164082,165332,"","plus","ferrous iron transporter B","",60879549,"protein-coding",NA,"WP_102747280.1",416,"GOZ73_RS00685","akkermansia_muciniphila.tsv"
"129","NZ_AP021898.1",165666,166961,"","minus","sialate O-acetylesterase","",60879550,"protein-coding",NA,"WP_146018866.1",431,"GOZ73_RS00690","akkermansia_muciniphila.tsv"
"130","NZ_AP021898.1",167217,167966,"","plus","GDSL-type esterase/lipase family protein","",60879551,"protein-coding",NA,"WP_162378710.1",249,"GOZ73_RS00695","akkermansia_muciniphila.tsv"
"131","NZ_AP021898.1",168114,170423,"","minus","hypothetical protein","",60879552,"protein-coding",NA,"WP_146018867.1",769,"GOZ73_RS00700","akkermansia_muciniphila.tsv"
"132","NZ_AP021898.1",170795,171175,"","plus","MerR family transcriptional regulator","",60879553,"protein-coding",NA,"WP_102748991.1",126,"GOZ73_RS00705","akkermansia_muciniphila.tsv"
"133","NZ_AP021898.1",171293,173428,"","plus","DNA gyrase/topoisomerase IV subunit A","",60879554,"protein-coding",NA,"WP_232053455.1",711,"GOZ73_RS00710","akkermansia_muciniphila.tsv"
"134","NZ_AP021898.1",173945,174526,"","plus","putative peptidoglycan-binding domain-containing protein","",60879556,"protein-coding",NA,"WP_232053456.1",193,"GOZ73_RS00720","akkermansia_muciniphila.tsv"
"135","NZ_AP021898.1",174667,175050,"","minus","hypothetical protein","",60879557,"protein-coding",NA,"WP_102748990.1",127,"GOZ73_RS00725","akkermansia_muciniphila.tsv"
"136","NZ_AP021898.1",175165,175491,"","minus","hypothetical protein","",60879558,"protein-coding",NA,"WP_102748989.1",108,"GOZ73_RS00730","akkermansia_muciniphila.tsv"
"137","NZ_AP021898.1",175837,176721,"","plus","ParB/RepB/Spo0J family partition protein","",60879559,"protein-coding",NA,"WP_102748988.1",294,"GOZ73_RS00735","akkermansia_muciniphila.tsv"
"138","NZ_AP021898.1",176742,177686,"","plus","M28 family peptidase","",60879560,"protein-coding",NA,"WP_102748987.1",314,"GOZ73_RS00740","akkermansia_muciniphila.tsv"
"139","NZ_AP021898.1",177725,179707,"","plus","vWA domain-containing protein","",60879561,"protein-coding",NA,"WP_102748986.1",660,"GOZ73_RS00745","akkermansia_muciniphila.tsv"
"140","NZ_AP021898.1",179704,181902,"","plus","hypothetical protein","",60879562,"protein-coding",NA,"WP_102748985.1",732,"GOZ73_RS00750","akkermansia_muciniphila.tsv"
"141","NZ_AP021898.1",181953,183164,"","minus","hypothetical protein","",60879563,"protein-coding",NA,"WP_146020893.1",403,"GOZ73_RS00755","akkermansia_muciniphila.tsv"
"142","NZ_AP021898.1",183352,183708,"","plus","hypothetical protein","",60879564,"protein-coding",NA,"WP_031930031.1",118,"GOZ73_RS00760","akkermansia_muciniphila.tsv"
"143","NZ_AP021898.1",183733,184713,"","minus","bile acid:sodium symporter family protein","",60879565,"protein-coding",NA,"WP_087393384.1",326,"GOZ73_RS00765","akkermansia_muciniphila.tsv"
"144","NZ_AP021898.1",184750,185931,"","minus","tyrosine--tRNA ligase","tyrS",60879566,"protein-coding",NA,"WP_102745040.1",393,"GOZ73_RS00770","akkermansia_muciniphila.tsv"
