locus_tag	ftype	length_bp	gene	EC_number	COG	product
EKHJKCLP_00056	CDS	336				hypothetical protein
EKHJKCLP_00057	CDS	315	trxA			Thioredoxin 1
EKHJKCLP_00058	CDS	3807	dnaE	2.7.7.7		DNA polymerase III subunit alpha
EKHJKCLP_00059	CDS	687	psd	4.1.1.65		Phosphatidylserine decarboxylase proenzyme
EKHJKCLP_00060	CDS	708				hypothetical protein
EKHJKCLP_00061	CDS	285				hypothetical protein
EKHJKCLP_00062	CDS	438	tadA_1	3.5.4.33		tRNA-specific adenosine deaminase
EKHJKCLP_00063	CDS	204				hypothetical protein
EKHJKCLP_00064	CDS	366				hypothetical protein
EKHJKCLP_00065	CDS	357	yjbR		COG2315	putative protein YjbR
EKHJKCLP_00066	CDS	759	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
EKHJKCLP_00067	CDS	1068				hypothetical protein
EKHJKCLP_00068	CDS	660				hypothetical protein
EKHJKCLP_00069	CDS	1329	dinF		COG0534	DNA damage-inducible protein F
EKHJKCLP_00070	CDS	711	pyrH	2.7.4.22	COG0528	Uridylate kinase
EKHJKCLP_00071	CDS	912				hypothetical protein
EKHJKCLP_00072	CDS	561	frr		COG0233	Ribosome-recycling factor
EKHJKCLP_00073	CDS	933	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
EKHJKCLP_00074	CDS	1086	mdtA_1			Multidrug resistance protein MdtA
EKHJKCLP_00075	CDS	3033	bepE_1			Efflux pump membrane transporter BepE
EKHJKCLP_00076	CDS	1347				hypothetical protein
EKHJKCLP_00077	CDS	1161	wecH	2.3.1.-		O-acetyltransferase WecH
EKHJKCLP_00078	CDS	1638	fumB	4.2.1.2	COG1838	Fumarate hydratase class I, anaerobic
EKHJKCLP_00079	CDS	2031				hypothetical protein
EKHJKCLP_00080	CDS	1257	hflX			GTPase HflX
EKHJKCLP_00081	CDS	882				hypothetical protein
EKHJKCLP_00082	CDS	1626				hypothetical protein
EKHJKCLP_00083	CDS	3009			COG4771	TonB-dependent receptor P39
EKHJKCLP_00084	CDS	1035	xerC_1			Tyrosine recombinase XerC
EKHJKCLP_00085	CDS	120				hypothetical protein
EKHJKCLP_00086	CDS	99				hypothetical protein
EKHJKCLP_00087	CDS	3174				hypothetical protein
EKHJKCLP_00088	CDS	1560				hypothetical protein
EKHJKCLP_00089	CDS	660				hypothetical protein
EKHJKCLP_00090	CDS	693	yfnB	3.-.-.-	COG1011	Putative HAD-hydrolase YfnB
EKHJKCLP_00091	CDS	858				hypothetical protein
EKHJKCLP_00092	CDS	675	rsmI_1	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
EKHJKCLP_00093	CDS	600				hypothetical protein
EKHJKCLP_00094	CDS	1839				hypothetical protein
EKHJKCLP_00095	CDS	1521				hypothetical protein
EKHJKCLP_00096	CDS	3207	susC_1		COG1629	TonB-dependent receptor SusC
EKHJKCLP_00097	CDS	600	tdk	2.7.1.21	COG1435	Thymidine kinase
EKHJKCLP_00098	CDS	1134				hypothetical protein
EKHJKCLP_00099	tRNA	74				tRNA-Lys(ttt)
EKHJKCLP_00100	CDS	858				hypothetical protein
EKHJKCLP_00101	CDS	1143			COG2885	Outer membrane protein 41
EKHJKCLP_00102	CDS	843		3.2.1.103		Keratan-sulfate endo-1,4-beta-galactosidase
EKHJKCLP_00103	CDS	825		3.2.1.103		Keratan-sulfate endo-1,4-beta-galactosidase
EKHJKCLP_00104	CDS	1578				hypothetical protein
EKHJKCLP_00105	CDS	3246	susC_2		COG1629	TonB-dependent receptor SusC
EKHJKCLP_00106	CDS	3924	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
EKHJKCLP_00107	CDS	141				hypothetical protein
EKHJKCLP_00108	CDS	219				hypothetical protein
EKHJKCLP_00109	CDS	171				hypothetical protein
EKHJKCLP_00110	CDS	636				hypothetical protein
EKHJKCLP_00111	CDS	2130	kefB_1			Glutathione-regulated potassium-efflux system protein KefB
EKHJKCLP_00112	CDS	1266				hypothetical protein
EKHJKCLP_00113	CDS	1761	nag3	3.2.1.21		Beta-N-acetylglucosaminidase/beta-glucosidase
EKHJKCLP_00114	CDS	4077	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
EKHJKCLP_00115	CDS	1716				hypothetical protein
EKHJKCLP_00116	CDS	3162			COG4771	TonB-dependent receptor P39
EKHJKCLP_00117	CDS	2115				hypothetical protein
EKHJKCLP_00118	CDS	1749				hypothetical protein
EKHJKCLP_00119	CDS	777				hypothetical protein
EKHJKCLP_00120	CDS	1386				hypothetical protein
EKHJKCLP_00121	CDS	636	sipS	3.4.21.89	COG0681	Signal peptidase I S
EKHJKCLP_00122	CDS	705	arnC	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
EKHJKCLP_00123	CDS	1455				hypothetical protein
EKHJKCLP_00124	CDS	459				hypothetical protein
EKHJKCLP_00125	CDS	630				hypothetical protein
EKHJKCLP_00126	CDS	1218				hypothetical protein
EKHJKCLP_00127	CDS	462				hypothetical protein
EKHJKCLP_00128	CDS	1284				hypothetical protein
EKHJKCLP_00129	CDS	522				hypothetical protein
EKHJKCLP_00130	CDS	1554				hypothetical protein
EKHJKCLP_00131	CDS	1956				hypothetical protein
EKHJKCLP_00132	CDS	1374	mepA_1			Multidrug export protein MepA
EKHJKCLP_00133	CDS	501				hypothetical protein
EKHJKCLP_00134	CDS	1077				hypothetical protein
EKHJKCLP_00135	CDS	1830	rlhA		COG0826	23S rRNA 5-hydroxycytidine synthase
EKHJKCLP_00136	CDS	918	metAA	2.3.1.31	COG1897	Homoserine O-acetyltransferase
EKHJKCLP_00137	CDS	171				Ferredoxin
EKHJKCLP_00138	CDS	1194		2.6.1.1		Aspartate/prephenate aminotransferase
EKHJKCLP_00139	CDS	1215	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
EKHJKCLP_00140	CDS	1917				hypothetical protein
EKHJKCLP_00141	CDS	387				hypothetical protein
EKHJKCLP_00142	tRNA	75				tRNA-Met(cat)
EKHJKCLP_00143	CDS	1287				hypothetical protein
EKHJKCLP_00144	CDS	495				hypothetical protein
EKHJKCLP_00145	CDS	810				hypothetical protein
EKHJKCLP_00146	CDS	252				hypothetical protein
EKHJKCLP_00147	CDS	936				hypothetical protein
EKHJKCLP_00148	CDS	153				hypothetical protein
EKHJKCLP_00149	CDS	96				hypothetical protein
EKHJKCLP_00150	CDS	384				hypothetical protein
EKHJKCLP_00151	CDS	432				hypothetical protein
EKHJKCLP_00152	CDS	405				hypothetical protein
EKHJKCLP_00153	CDS	636	tnpR_1			Transposon gamma-delta resolvase
EKHJKCLP_00154	CDS	1026				hypothetical protein
EKHJKCLP_00155	CDS	624				hypothetical protein
EKHJKCLP_00156	CDS	1209				hypothetical protein
EKHJKCLP_00157	CDS	981				hypothetical protein
EKHJKCLP_00158	CDS	1323				hypothetical protein
EKHJKCLP_00159	CDS	435				hypothetical protein
EKHJKCLP_00160	CDS	366				hypothetical protein
EKHJKCLP_00161	CDS	1587				IS66 family transposase ISBthe6
EKHJKCLP_00162	CDS	1221				hypothetical protein
EKHJKCLP_00163	CDS	1230	xerC_2			Tyrosine recombinase XerC
EKHJKCLP_00164	CDS	543				hypothetical protein
EKHJKCLP_00165	CDS	891				hypothetical protein
EKHJKCLP_00166	CDS	3363			COG4771	TonB-dependent receptor P3
EKHJKCLP_00167	CDS	1548				hypothetical protein
EKHJKCLP_00168	CDS	2574		3.2.1.23	COG3250	Beta-galactosidase BoGH2A
EKHJKCLP_00169	CDS	1491				hypothetical protein
EKHJKCLP_00170	CDS	1308	guaA_1	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
EKHJKCLP_00171	CDS	1440	srrB	2.7.13.3		Sensor protein SrrB
EKHJKCLP_00172	CDS	1131	kdpD	2.7.13.3	COG2205	Sensor protein KdpD
EKHJKCLP_00173	CDS	744				hypothetical protein
EKHJKCLP_00174	CDS	576	kdpC		COG2156	Potassium-transporting ATPase KdpC subunit
EKHJKCLP_00175	CDS	2034	kdpB	7.2.2.6	COG2216	Potassium-transporting ATPase ATP-binding subunit
EKHJKCLP_00176	CDS	1707	kdpA		COG2060	Potassium-transporting ATPase potassium-binding subunit
EKHJKCLP_00177	CDS	2256				hypothetical protein
EKHJKCLP_00178	CDS	114				hypothetical protein
EKHJKCLP_00179	rRNA	111				5S ribosomal RNA
EKHJKCLP_00180	rRNA	2880				23S ribosomal RNA
EKHJKCLP_00181	tRNA	75				tRNA-Ala(tgc)
EKHJKCLP_00182	tRNA	75				tRNA-Ile(gat)
EKHJKCLP_00183	rRNA	1529				16S ribosomal RNA
EKHJKCLP_00184	CDS	126				hypothetical protein
EKHJKCLP_00185	CDS	1341	atoC_1		COG2204	Regulatory protein AtoC
EKHJKCLP_00186	CDS	2472	cdr	1.8.1.14		Coenzyme A disulfide reductase
EKHJKCLP_00187	CDS	336				hypothetical protein
EKHJKCLP_00188	CDS	636				hypothetical protein
EKHJKCLP_00189	CDS	627				hypothetical protein
EKHJKCLP_00190	CDS	3012	yfeW	3.4.16.4		Putative D-alanyl-D-alanine carboxypeptidase
EKHJKCLP_00191	CDS	831	yfkN_1		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
EKHJKCLP_00192	CDS	786				hypothetical protein
EKHJKCLP_00193	CDS	354	rplS		COG0335	Large ribosomal subunit protein bL19
EKHJKCLP_00194	CDS	192				hypothetical protein
EKHJKCLP_00195	CDS	981	glk	2.7.1.2		Glucokinase
EKHJKCLP_00196	CDS	717	yknY_1	7.6.2.-	COG1136	putative ABC transporter ATP-binding protein YknY
EKHJKCLP_00197	CDS	1260	macB_1	7.6.2.-	COG0577	Macrolide export ATP-binding/permease protein MacB
EKHJKCLP_00198	CDS	1242	macB_2	7.6.2.-	COG0577	Macrolide export ATP-binding/permease protein MacB
EKHJKCLP_00199	CDS	1101	macA		COG0845	Macrolide export protein MacA
EKHJKCLP_00200	CDS	1338	bepC_1			Outer membrane efflux protein BepC
EKHJKCLP_00201	CDS	972	msrAB		COG0225	Peptide methionine sulfoxide reductase MsrA/MsrB
EKHJKCLP_00202	CDS	1962	mtgA_1	2.4.99.28		Biosynthetic peptidoglycan transglycosylase
EKHJKCLP_00203	CDS	1128				hypothetical protein
EKHJKCLP_00204	CDS	678				hypothetical protein
EKHJKCLP_00205	CDS	669				hypothetical protein
EKHJKCLP_00206	CDS	840	cvfB			Conserved virulence factor B
EKHJKCLP_00207	CDS	1002	mdh_1	1.1.1.37		Malate dehydrogenase
EKHJKCLP_00208	CDS	432				hypothetical protein
EKHJKCLP_00209	CDS	1947	ziaA	7.2.2.12	COG2217	Zinc-transporting ATPase
EKHJKCLP_00210	CDS	657				hypothetical protein
EKHJKCLP_00211	CDS	1833	ispG	1.17.7.3		4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (ferredoxin)
EKHJKCLP_00212	CDS	510	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
EKHJKCLP_00213	CDS	381	gcvH		COG0509	Glycine cleavage system H protein
EKHJKCLP_00214	CDS	672				hypothetical protein
EKHJKCLP_00215	CDS	1485	rpoN		COG1508	RNA polymerase sigma-54 factor
EKHJKCLP_00216	CDS	1374	pepP	3.4.11.9	COG0006	Xaa-Pro aminopeptidase
EKHJKCLP_00217	CDS	399				hypothetical protein
EKHJKCLP_00218	CDS	1674	udk_1	2.7.1.48		Uridine kinase
EKHJKCLP_00219	CDS	1698				hypothetical protein
EKHJKCLP_00220	CDS	747				hypothetical protein
EKHJKCLP_00221	CDS	165	rd	1.-.-.-	COG1773	Rubredoxin
EKHJKCLP_00222	CDS	1176	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
EKHJKCLP_00223	CDS	2706	yoaB	7.2.2.10	COG0474	Calcium-transporting ATPase 1
EKHJKCLP_00224	CDS	624		3.1.3.-	COG1011	D-ribitol-5-phosphate phosphatase
EKHJKCLP_00225	CDS	987	ribCF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
EKHJKCLP_00226	CDS	90				hypothetical protein
EKHJKCLP_00227	CDS	774				hypothetical protein
EKHJKCLP_00228	CDS	888				hypothetical protein
EKHJKCLP_00229	CDS	2847				hypothetical protein
EKHJKCLP_00230	CDS	1212				hypothetical protein
EKHJKCLP_00231	CDS	1392				hypothetical protein
EKHJKCLP_00232	CDS	3057			COG4771	TonB-dependent receptor P3
EKHJKCLP_00233	CDS	426	sufE		COG2166	Cysteine desulfuration protein SufE
EKHJKCLP_00234	CDS	1020				hypothetical protein
EKHJKCLP_00235	CDS	909	ykfA	3.4.16.-	COG1619	putative murein peptide carboxypeptidase
EKHJKCLP_00236	CDS	804		3.2.1.103		Keratan-sulfate endo-1,4-beta-galactosidase
EKHJKCLP_00237	CDS	957	ptb	2.3.1.19	COG0280	Phosphate butyryltransferase
EKHJKCLP_00238	CDS	1062	buk2	2.7.2.7	COG3426	Butyrate kinase 2
EKHJKCLP_00239	CDS	180				hypothetical protein
EKHJKCLP_00240	CDS	2127	pnp_1	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
EKHJKCLP_00241	CDS	1152	resA_1			Thiol-disulfide oxidoreductase ResA
EKHJKCLP_00242	CDS	531	greA		COG0782	Transcription elongation factor GreA
EKHJKCLP_00243	CDS	393			COG0537	putative HIT-like protein
EKHJKCLP_00244	CDS	921				hypothetical protein
EKHJKCLP_00245	CDS	1230				hypothetical protein
EKHJKCLP_00246	CDS	111				hypothetical protein
EKHJKCLP_00247	CDS	504	ecfG_1			ECF RNA polymerase sigma factor EcfG
EKHJKCLP_00248	CDS	1443	gadB	4.1.1.15	COG0076	Glutamate decarboxylase
EKHJKCLP_00249	CDS	966	glsA1	3.5.1.2	COG2066	Glutaminase 1
EKHJKCLP_00250	CDS	777				hypothetical protein
EKHJKCLP_00251	CDS	1611	gadC		COG0531	Glutamate/gamma-aminobutyrate antiporter
EKHJKCLP_00252	CDS	183				hypothetical protein
EKHJKCLP_00253	tRNA	76				tRNA-Phe(gaa)
EKHJKCLP_00254	CDS	1236	xerC_3			Tyrosine recombinase XerC
EKHJKCLP_00255	CDS	285				hypothetical protein
EKHJKCLP_00256	CDS	1131				hypothetical protein
EKHJKCLP_00257	CDS	888				hypothetical protein
EKHJKCLP_00258	CDS	237				hypothetical protein
EKHJKCLP_00259	CDS	1047				hypothetical protein
EKHJKCLP_00260	CDS	480				hypothetical protein
EKHJKCLP_00261	CDS	291				hypothetical protein
EKHJKCLP_00262	CDS	264				hypothetical protein
EKHJKCLP_00263	CDS	807				hypothetical protein
EKHJKCLP_00264	CDS	771				hypothetical protein
EKHJKCLP_00265	CDS	1230				hypothetical protein
EKHJKCLP_00266	CDS	828				hypothetical protein
EKHJKCLP_00267	CDS	1158				hypothetical protein
EKHJKCLP_00268	CDS	462				hypothetical protein
EKHJKCLP_00269	CDS	1293	speB	3.4.22.10		Streptopain
EKHJKCLP_00270	CDS	1125		3.4.24.76		Flavastacin
EKHJKCLP_00271	CDS	369				hypothetical protein
EKHJKCLP_00272	CDS	264				hypothetical protein
EKHJKCLP_00273	CDS	1245	spt_1	2.3.1.50		Serine palmitoyltransferase
EKHJKCLP_00274	CDS	723				hypothetical protein
EKHJKCLP_00275	CDS	351				hypothetical protein
EKHJKCLP_00276	CDS	1032	xerD_1			Tyrosine recombinase XerD
EKHJKCLP_00277	CDS	999	xerC_4			Tyrosine recombinase XerC
EKHJKCLP_00278	CDS	1233	xerC_5			Tyrosine recombinase XerC
EKHJKCLP_00279	CDS	147				hypothetical protein
EKHJKCLP_00280	CDS	456				hypothetical protein
EKHJKCLP_00281	CDS	579				hypothetical protein
EKHJKCLP_00282	CDS	915				hypothetical protein
EKHJKCLP_00283	CDS	1287				hypothetical protein
EKHJKCLP_00284	CDS	624				hypothetical protein
EKHJKCLP_00285	CDS	1014				hypothetical protein
EKHJKCLP_00286	CDS	630				hypothetical protein
EKHJKCLP_00287	CDS	354				hypothetical protein
EKHJKCLP_00288	CDS	2538				hypothetical protein
EKHJKCLP_00289	CDS	327				hypothetical protein
EKHJKCLP_00290	CDS	273				hypothetical protein
EKHJKCLP_00291	CDS	1059				hypothetical protein
EKHJKCLP_00292	CDS	1125				hypothetical protein
EKHJKCLP_00293	CDS	381				hypothetical protein
EKHJKCLP_00294	CDS	291				hypothetical protein
EKHJKCLP_00295	CDS	3990	rcsC_4	2.7.13.3		Sensor histidine kinase RcsC
EKHJKCLP_00296	CDS	1152				hypothetical protein
EKHJKCLP_00297	CDS	1143			COG2885	Outer membrane protein 41
EKHJKCLP_00298	CDS	1224	puuB	1.4.3.-	COG0665	Gamma-glutamylputrescine oxidoreductase
EKHJKCLP_00299	CDS	207				hypothetical protein
EKHJKCLP_00300	CDS	291				hypothetical protein
EKHJKCLP_00301	CDS	111				hypothetical protein
EKHJKCLP_00302	CDS	933				hypothetical protein
EKHJKCLP_00303	CDS	297				hypothetical protein
EKHJKCLP_00304	CDS	297				hypothetical protein
EKHJKCLP_00305	CDS	258				hypothetical protein
EKHJKCLP_00306	CDS	144				hypothetical protein
EKHJKCLP_00307	CDS	516				hypothetical protein
EKHJKCLP_00308	CDS	351				hypothetical protein
EKHJKCLP_00309	CDS	204				hypothetical protein
EKHJKCLP_00310	CDS	282				hypothetical protein
EKHJKCLP_00311	CDS	696				hypothetical protein
EKHJKCLP_00312	CDS	2178	comA	3.4.22.-	COG2274	Transport/processing ATP-binding protein ComA
EKHJKCLP_00313	CDS	1635				hypothetical protein
EKHJKCLP_00314	CDS	195				hypothetical protein
EKHJKCLP_00315	CDS	666				hypothetical protein
EKHJKCLP_00316	CDS	453				hypothetical protein
EKHJKCLP_00317	CDS	762				hypothetical protein
EKHJKCLP_00318	CDS	639				hypothetical protein
EKHJKCLP_00319	CDS	1257				hypothetical protein
EKHJKCLP_00320	CDS	2034				hypothetical protein
EKHJKCLP_00321	CDS	108				hypothetical protein
EKHJKCLP_00322	CDS	255				hypothetical protein
EKHJKCLP_00323	CDS	369				hypothetical protein
EKHJKCLP_00324	CDS	897				hypothetical protein
EKHJKCLP_00325	CDS	603				hypothetical protein
EKHJKCLP_00326	CDS	1035				hypothetical protein
EKHJKCLP_00327	CDS	729				hypothetical protein
EKHJKCLP_00328	CDS	2493				hypothetical protein
EKHJKCLP_00329	CDS	906				hypothetical protein
EKHJKCLP_00330	CDS	516				hypothetical protein
EKHJKCLP_00331	CDS	501				hypothetical protein
EKHJKCLP_00332	CDS	963				hypothetical protein
EKHJKCLP_00333	CDS	1167				hypothetical protein
EKHJKCLP_00334	CDS	879				hypothetical protein
EKHJKCLP_00335	CDS	1845				hypothetical protein
EKHJKCLP_00336	CDS	465				hypothetical protein
EKHJKCLP_00337	CDS	444				hypothetical protein
EKHJKCLP_00338	CDS	402				hypothetical protein
EKHJKCLP_00339	CDS	294				hypothetical protein
EKHJKCLP_00340	CDS	369				hypothetical protein
EKHJKCLP_00341	CDS	951				hypothetical protein
EKHJKCLP_00342	CDS	417				hypothetical protein
EKHJKCLP_00343	CDS	423				hypothetical protein
EKHJKCLP_00344	CDS	2481	clpB		COG0542	Chaperone protein ClpB
EKHJKCLP_00345	CDS	399				hypothetical protein
EKHJKCLP_00346	CDS	1809				hypothetical protein
EKHJKCLP_00347	CDS	1359				hypothetical protein
EKHJKCLP_00348	CDS	474				hypothetical protein
EKHJKCLP_00349	CDS	1380				hypothetical protein
EKHJKCLP_00350	CDS	4347				hypothetical protein
EKHJKCLP_00351	CDS	573				hypothetical protein
EKHJKCLP_00352	CDS	531				hypothetical protein
EKHJKCLP_00353	CDS	1038				hypothetical protein
EKHJKCLP_00354	CDS	861				hypothetical protein
EKHJKCLP_00355	CDS	1062				hypothetical protein
EKHJKCLP_00356	CDS	1131				hypothetical protein
EKHJKCLP_00357	CDS	855				hypothetical protein
EKHJKCLP_00358	CDS	1236				hypothetical protein
EKHJKCLP_00359	CDS	534				hypothetical protein
EKHJKCLP_00360	CDS	981				hypothetical protein
EKHJKCLP_00361	CDS	243				hypothetical protein
EKHJKCLP_00362	CDS	663				hypothetical protein
EKHJKCLP_00363	CDS	1140	fabH_1	2.3.1.180	COG0332	Beta-ketoacyl-[acyl-carrier-protein] synthase III
EKHJKCLP_00364	CDS	531				hypothetical protein
EKHJKCLP_00365	CDS	2145	rcsC_5	2.7.13.3		Sensor histidine kinase RcsC
EKHJKCLP_00366	CDS	1329	zraR_1		COG2204	Transcriptional regulatory protein ZraR
EKHJKCLP_00367	CDS	1830				hypothetical protein
EKHJKCLP_00368	CDS	270				hypothetical protein
EKHJKCLP_00369	CDS	1755	topB_1	5.6.2.1	COG0550	DNA topoisomerase 3
EKHJKCLP_00370	CDS	213				hypothetical protein
EKHJKCLP_00371	CDS	210				hypothetical protein
EKHJKCLP_00372	CDS	1080				hypothetical protein
EKHJKCLP_00373	CDS	222				hypothetical protein
EKHJKCLP_00374	CDS	1110				hypothetical protein
EKHJKCLP_00375	CDS	702				hypothetical protein
EKHJKCLP_00376	CDS	792				hypothetical protein
EKHJKCLP_00377	CDS	699				hypothetical protein
EKHJKCLP_00378	CDS	417				hypothetical protein
EKHJKCLP_00379	CDS	819				hypothetical protein
EKHJKCLP_00380	CDS	285				hypothetical protein
EKHJKCLP_00381	CDS	297				hypothetical protein
EKHJKCLP_00382	CDS	267				hypothetical protein
EKHJKCLP_00383	CDS	1599				hypothetical protein
EKHJKCLP_00384	CDS	945				hypothetical protein
EKHJKCLP_00385	CDS	177				hypothetical protein
EKHJKCLP_00386	CDS	849				hypothetical protein
EKHJKCLP_00387	CDS	1323				hypothetical protein
EKHJKCLP_00388	CDS	876				hypothetical protein
EKHJKCLP_00389	CDS	309				hypothetical protein
EKHJKCLP_00390	CDS	369				hypothetical protein
EKHJKCLP_00391	CDS	366				hypothetical protein
EKHJKCLP_00392	CDS	756				IS66 family transposase ISBthe6
EKHJKCLP_00393	CDS	1992				hypothetical protein
EKHJKCLP_00394	CDS	825				hypothetical protein
EKHJKCLP_00395	CDS	933				hypothetical protein
EKHJKCLP_00396	CDS	963				hypothetical protein
EKHJKCLP_00397	CDS	1227				hypothetical protein
EKHJKCLP_00398	CDS	723				hypothetical protein
EKHJKCLP_00399	CDS	1293				hypothetical protein
EKHJKCLP_00400	tRNA	74				tRNA-Pro(cgg)
EKHJKCLP_00401	CDS	1638				hypothetical protein
EKHJKCLP_00402	CDS	807				hypothetical protein
EKHJKCLP_00403	CDS	369	ytrA		COG1725	HTH-type transcriptional repressor YtrA
EKHJKCLP_00404	CDS	852				hypothetical protein
EKHJKCLP_00405	CDS	846	uup_1	3.6.1.-		ATP-binding protein Uup
EKHJKCLP_00406	CDS	1467				hypothetical protein
EKHJKCLP_00407	CDS	945				hypothetical protein
EKHJKCLP_00408	CDS	816				hypothetical protein
EKHJKCLP_00409	CDS	654				hypothetical protein
EKHJKCLP_00410	CDS	606	tolR_1			Tol-Pal system protein TolR
EKHJKCLP_00411	CDS	804	tolQ_1			Tol-Pal system protein TolQ
EKHJKCLP_00412	CDS	444				hypothetical protein
EKHJKCLP_00413	rRNA	111				5S ribosomal RNA
EKHJKCLP_00414	rRNA	2880				23S ribosomal RNA
EKHJKCLP_00415	tRNA	75				tRNA-Ala(tgc)
EKHJKCLP_00416	tRNA	75				tRNA-Ile(gat)
EKHJKCLP_00417	rRNA	1529				16S ribosomal RNA
EKHJKCLP_00418	CDS	126				hypothetical protein
EKHJKCLP_00419	CDS	2325				hypothetical protein
EKHJKCLP_00420	CDS	1245		3.2.1.-	COG0673	Glycosyl hydrolase family 109 protein 1
